"estacion","dia_wd","hora","viajes_retiro_prom","edad_p","prop_f","duracion_p","dist_prom","viajes_arribo_prom","region","region_0","region_1","region_10","region_11","region_12","region_2","region_3","region_4","region_5","region_6","region_7","region_8","region_9","dia_2","dia_3","dia_4","dia_5","dia_6","hora_6","hora_7","hora_8","hora_9","hora_10","hora_11","flujo_abs","maxcapacity","flujo_rel"
16,3,6,1.82857142857143,35.1533333333333,0.552857142857143,7.93571428571429,1.09391428571429,9.17307692307692,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.955128205128205,36,0.026531339031339
16,3,7,3.41176470588235,29.965406162465,0.326330532212885,8.82689075630252,1.24621335200747,25.9615384615385,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.03205128205128,36,0.0842236467236467
16,3,8,6.69230769230769,33.7666087431925,0.290674570213597,11.0505478903952,1.53069442708498,45.75,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.42948717948718,36,0.178596866096866
16,3,9,6.23529411764706,35.0594059535236,0.257199554258378,11.4322705616823,1.39458431873138,22.5384615384615,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.38461538461538,36,0.094017094017094
16,3,10,5.86538461538461,36.8143907908331,0.215627054569362,11.5348466704236,1.14803004367427,10.7692307692308,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.00320512820513,36,0.0278668091168091
16,3,11,6.94230769230769,35.3726263320013,0.221455627705628,11.6070339382839,1.26927857905983,7.46153846153846,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.192307692307692,36,0.00534188034188034
16,4,6,1.875,35.0838541666667,0.4109375,11.5239583333333,1.22196875,10.2156862745098,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.13461538461538,36,0.031517094017094
16,4,7,4.15686274509804,31.1806722689076,0.333636788048553,8.2719421101774,1.06726493930906,22.7307692307692,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.28205128205128,36,0.0633903133903134
16,4,8,6.63461538461539,34.1778502480426,0.376838969853676,10.3920133944738,1.50303564440838,39.8235294117647,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.37820512820513,36,0.149394586894587
16,4,9,6.28846153846154,35.3161383488307,0.232674910559526,11.5699781521897,1.36322616806271,23,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.34615384615385,36,0.092948717948718
